Sequence No.,V,D,air density,humidity,I,S_a,S_b,y (% relative to rated power)
60,9.358939,199.8794,1.228564065,84.778235,0.041730574,0.328765461,0.169418647,48.06
61,9.569211,197.1752,1.227743024,82.319275,0.036612245,0.299323613,0.205878943,49.43
62,9.730291,194.7595,1.227847176,82.045132,0.061762747,0.243125493,0.187857022,58.64666667
63,14.2012,203.8111,1.233441533,84.505482,0.078616596,0.113001124,0.086770857,93.66
64,12.89996,200.9224,1.231632205,80.834497,0.062230379,0.254669319,0.116726667,91.48
65,13.41597,202.85,1.230333845,80.626013,0.08675884,0.17599964,0.090576991,99.14
66,14.00679,201.4156,1.229622725,78.401523,0.049416369,0.181292656,0.115126226,99.60666667
67,14.57949,203.8514,1.229467286,78.714148,0.067235459,0.150239692,0.084215,98.84666667
68,13.74885,205.7654,1.229451959,78.581042,0.062772566,0.105375235,0.082738876,99.52666667
69,14.24545,205.563,1.229598127,78.177962,0.05463819,0.095324616,0.107388071,95.83333333
70,12.87966,208.0012,1.229412892,79.250734,0.075554751,0.127414144,0.121344857,87.04666667
71,11.97292,206.9648,1.230042454,80.443913,0.054107269,0.143239377,0.099697983,77.41666667
72,11.80504,198.9755,1.22977169,80.85116,0.047579568,0.156592919,0.108792081,79.73333333
73,11.85402,195.2979,1.230106033,80.271728,0.048395017,0.161820202,0.114292521,72.03666667
74,11.18949,197.4942,1.23014842,81.851327,0.047116839,0.195105289,0.109072995,63.68
75,10.38488,200.1369,1.230152595,82.702719,0.043970388,0.213439163,0.139632381,57.55666667
76,10.17964,205.2214,1.230062847,83.097273,0.049084192,0.208045569,0.173890512,56.28333333
77,10.1086,204.1007,1.22933202,81.958048,0.050477732,0.288021295,0.158441458,59.61333333
78,10.59407,200.8343,1.228466821,80.124739,0.042495453,0.347948977,0.197935598,60.78666667
79,10.23433,197.7035,1.227362868,78.283297,0.036573591,0.331373437,0.178075241,49.94666667
80,9.4694,199.3735,1.227048097,78.15852,0.038279616,0.364742106,0.208863819,43.32666667
81,9.302818,197.0309,1.226583036,77.685219,0.03363082,0.455735815,0.252490664,44.18
82,9.54034,194.9614,1.225568607,75.55416,0.038392353,0.429160251,0.297916469,53.68
83,10.06977,189.51,1.224552038,73.198745,0.057052654,0.292697415,0.264849332,43.10666667
84,9.153992,180.6182,1.225324419,76.869532,0.056225404,0.353570498,0.279352425,47.73666667
85,9.734317,184.2639,1.223902128,73.612738,0.044180203,0.33055851,0.252033304,47.51
86,9.327646,190.7674,1.223690264,72.675849,0.06151268,0.419831258,0.223230269,42.02
87,9.44409,192.3806,1.222831428,70.242479,0.038415263,0.336100633,0.200621107,52.35
88,10.56487,190.0159,1.220080005,60.771035,0.017927831,0.15132989,0.236455605,59.70666667
89,10.85057,189.3679,1.220207402,61.808298,0.043713399,0.131870842,0.277640464,64.93
90,10.70179,189.4155,1.218542544,60.493916,0.031530118,0.081371289,0.230781563,59.41333333
91,10.42908,189.8465,1.21802487,59.908534,0.012745822,0.146356488,0.224254095,54.09666667
92,9.490635,188.7488,1.218905666,62.373645,0.061208212,0.342438922,0.263513386,34.27666667
93,8.431191,188.35,1.21999447,65.39934,0.040057247,0.377555956,0.325748474,32.97
94,8.590347,190.3593,1.219534149,64.492009,0.029731442,0.380061841,0.336096493,35.29
95,8.894945,185.9805,1.217904931,63.177826,0.036694943,0.346465853,0.275465813,48.40666667
96,9.798152,188.6125,1.21615494,60.034299,0.027832779,0.343123188,0.296645567,40.53666667
97,9.032223,184.5366,1.21667817,61.752954,0.061321803,0.462640984,0.422502788,38.37
98,9.112514,179.8648,1.217196382,62.962993,0.081785016,0.458773176,0.314972065,49.7
99,10.12306,177.9682,1.215979521,60.345737,0.05222252,0.469013086,0.332645287,56.04333333
100,10.1674,177.2568,1.21557609,58.360079,0.03731062,0.404166473,0.369510091,58.65666667
101,11.13466,163.4733,1.215450629,60.771035,0.055753135,0.127501519,0.316121506,78.81
102,12.55095,159.8125,1.21312876,57.964734,0.032193029,0.043056041,0.246349954,88.57666667
103,12.87153,157.6909,1.212386875,56.464482,0.023984554,0.091691848,0.209313609,87.09666667
104,12.3606,155.2742,1.213236389,56.714821,0.024913928,0.11196614,0.230258825,81.65
105,11.59536,152.9989,1.213129943,56.838205,0.072197482,0.107872237,0.225420318,68.52
106,11.16213,151.2844,1.213419168,57.218277,0.040076939,0.094154163,0.303584707,74.15333333
107,11.16885,152.0844,1.213560024,57.517812,0.036297264,0.095406738,0.244299868,71.62666667
108,11.02269,150.8522,1.214629846,58.619346,0.033143534,0.080477489,0.240258625,75.46666667
109,11.34358,150.1212,1.214841257,58.525121,0.033801569,0.092031474,0.228671188,72.29333333
110,11.31392,148.7296,1.215287762,58.344012,0.036517476,0.047885019,0.254282323,79.45
111,11.42618,149.514,1.215970839,58.120452,0.030048818,0.155616519,0.244143804,71.62333333
112,10.90765,150.1552,1.216831933,57.717369,0.03853292,0.226300579,0.260701492,78.23666667
113,11.39482,150.8847,1.216512978,57.693368,0.034466003,0.221597149,0.279320259,78.58333333
114,12.0711,147.2924,1.217470326,57.850673,0.073530896,0.136608955,0.266592619,66.52333333
115,10.12126,144.1459,1.217000687,58.060346,0.092571794,0.149639746,0.106264779,65.37333333
116,11.6975,149.5977,1.218459526,59.274751,0.036720376,0.252829576,0.23720288,77.78333333
117,11.48132,154.5612,1.219122568,59.59075,0.03868131,0.262716239,0.248431003,76.86666667
118,12.06834,156.4211,1.21890096,59.294984,0.031260554,0.25799839,0.230131693,83.68666667
119,12.39999,155.9129,1.217533055,57.946683,0.033842011,0.193884314,0.248005035,83.69
120,11.89114,154.3068,1.217894805,58.902415,0.03869338,0.218760703,0.260776656,79.52
121,11.58283,152.9523,1.218517603,59.275147,0.03676358,0.193275756,0.242943116,75.73333333
122,11.1502,151.9022,1.218743467,58.452121,0.032084635,0.218020413,0.268103205,73.44333333
123,10.66473,148.9311,1.219616719,58.922451,0.030812585,0.264992089,0.290004532,58.83333333
124,9.812427,146.245,1.221117407,60.727989,0.087577141,0.44981492,0.262772553,66.76666667
125,10.91497,147.0206,1.221100149,60.537954,0.05981114,0.398042494,0.307890463,78.85333333
126,11.77702,148.5017,1.220483485,60.409015,0.038915736,0.261040055,0.293139243,86.07
127,11.79721,147.8264,1.220639153,60.468724,0.049743592,0.186633644,0.251001506,66.37666667
128,9.806412,144.7639,1.220631273,60.055128,0.095555479,0.218284891,0.147432722,56.63666667
129,9.595771,144.3874,1.220967996,59.779595,0.089958858,0.273208679,0.120923452,59.44333333
130,9.682046,144.6689,1.221515764,60.916041,0.084215051,0.40376354,0.129926606,70.79
131,10.83376,146.1373,1.22186673,61.444095,0.073474528,0.477164222,0.217848821,72.15333333
132,10.69777,145.9114,1.221524138,61.122543,0.078398143,0.505383031,0.231931505,62.14333333
133,10.0303,145.4308,1.220552127,60.032778,0.079959024,0.583873669,0.222166773,57.04666667
134,8.832456,143.3455,1.220481711,60.203506,0.108855861,0.674353296,0.100025052,53.08666667
135,9.36938,145.1336,1.220401235,60.006132,0.107199516,0.471060534,0.182112509,53.37666667
136,9.721454,146.3707,1.220767907,60.138839,0.091872708,0.387779598,0.24625421,37.44666667
137,7.689272,142.216,1.221282514,61.024151,0.104488435,0.42462157,0.056102374,31.03666667
138,6.186605,136.3342,1.221865005,62.125486,0.194673815,0.45352529,0.124856843,19.04333333
139,6.110772,134.6529,1.222017356,63.321841,0.189217009,0.404152494,0.052943885,22.32666667
140,5.779982,132.3826,1.222262012,63.731666,0.182017003,0.488297292,0.029111637,21.55333333
141,6.286961,137.0064,1.222591527,64.359698,0.16410886,0.296388438,0.048433367,21.23
142,6.064066,135.4899,1.222675453,63.655692,0.152401112,0.442362627,0.015475906,26.73333333
143,5.812076,134.6641,1.22280172,64.326571,0.169578959,0.535995917,0.031032523,28.46
144,5.506067,132.5325,1.223136723,65.296189,0.196360306,0.566631754,0.018495427,25.44
145,5.868518,137.2978,1.223017792,64.804239,0.19585098,0.443814301,0.064212126,19.34666667
146,6.199965,138.8406,1.223452856,65.612981,0.144873157,0.287471946,0.009555615,19.62333333
147,5.588845,136.77,1.224055251,66.545904,0.20155864,0.435812482,0.086598801,14.09666667
148,5.352541,136.0792,1.225110705,66.467747,0.160213103,0.472410414,0.007622176,13.08333333
149,4.064476,133.0339,1.226723794,70.884989,0.159969034,0.659741851,0.008223853,11.24666667
150,4.99171,138.0149,1.226528737,69.697563,0.16852213,0.473156949,0.060382718,10.07
151,5.283092,139.8461,1.226442404,69.528553,0.181106462,0.374222903,0.069103768,12.12333333
152,5.33007,140.0986,1.226205253,69.567632,0.175506738,0.374121935,0.100816894,10.47333333
153,5.949499,143.8447,1.226034133,70.184752,0.185740682,0.140086994,0.139707292,12.02
154,6.988285,148.4806,1.226040785,68.696601,0.04353762,0.096325044,0.241680509,12.86333333
155,6.258235,155.701,1.226292576,69.676338,0.050024136,0.285220326,0.249821068,10.14333333
156,5.833392,158.6207,1.226789429,70.783226,0.026640812,0.234512637,0.34149047,8.54
157,5.81182,159.5434,1.227052147,72.000012,0.07018077,0.155319724,0.35212589,7.673333333
158,5.182415,169.9178,1.22782069,74.017209,0.074266322,0.311595964,0.248708646,3.62
159,4.796515,182.8753,1.228820595,77.604879,0.066567435,0.291358216,0.183512113,4.383333333
160,5.227677,187.458,1.23025958,79.754783,0.046295974,0.242629418,0.176074902,7.45
161,5.682593,185.4888,1.230919677,81.109432,0.066082667,0.121149589,0.130969444,10.65333333
162,5.799454,185.2414,1.232035591,82.523793,0.040138106,0.000600399,0.04555713,7.623333333
163,5.543182,186.383,1.232779187,83.930614,0.027484701,0.009504503,0.014053226,5.67
164,5.25844,195.2711,1.23387613,85.822245,0.069081724,0.035261153,0.017092164,6.71
165,5.328467,200.5891,1.234389116,87.329237,0.048793921,0.061962214,0.057809515,7.06
166,5.307536,203.9575,1.23457443,88.110211,0.054388213,0.09337163,0.058818312,3.916666667
167,4.766394,208.2575,1.234737387,88.497623,0.052349932,0.177774385,0.084196087,1.576666667
168,4.30989,272.476,1.239157121,96.229186,0.04600955,0.020639856,0.000792632,1.263333333
169,4.40704,178.9788,1.239486848,80.6639,0.019909672,0.463046776,0.293530513,1.243333333
170,4.6887,177.8139,1.239048015,80.592886,0.028791349,0.432670389,0.345901979,3.903333333
171,5.019474,177.292,1.239190855,81.682122,0.039815726,0.43355991,0.303136784,3.796666667
172,4.822338,168.6952,1.240973675,85.714333,0.052505113,0.47598765,0.206560632,3.983333333
173,4.82229,164.5048,1.240585763,85.931743,0.044705296,0.378727132,0.179318896,4.333333333
174,5.037454,170.622,1.239834558,80.688893,0.039892295,0.206903926,0.168628274,2.503333333
175,4.775343,168.7839,1.239020868,76.177033,0.030551983,0.185063397,0.248046313,1.396666667
176,4.565055,164.2027,1.23766396,68.490498,0.019818355,0.185125641,0.380717975,1.143333333
177,4.21481,158.285,1.237960262,69.322649,0.040556609,0.311348397,0.471391855,1.836666667
178,4.419469,157.8055,1.238126821,66.636954,0.031232598,0.162797455,0.410175242,2.416666667
179,4.351014,149.422,1.23841513,74.835671,0.037090549,0.305143906,0.442303259,1.77
180,4.31321,155.3308,1.238981554,78.6471,0.051772276,0.25196334,0.453771806,1.126666667
181,4.419629,159.9316,1.239158169,80.557576,0.04796794,0.423698772,0.312528426,1.006666667
182,3.843265,149.4191,1.239703462,81.854898,0.105525328,0.576424323,0.316111602,1.98
183,4.221659,153.8019,1.239537887,80.645055,0.057401225,0.466979535,0.413030592,2.066666667
184,4.420624,155.3321,1.239741348,81.209807,0.032777952,0.522275279,0.431795621,3.77
185,4.788447,157.4518,1.238881847,78.469366,0.039828049,0.222038199,0.546656618,1.516666667
186,4.47235,151.8097,1.238900969,78.601676,0.056200432,0.489167018,0.527472062,2.56
187,4.192564,150.6724,1.23798135,75.78585,0.077400965,0.430554695,0.426597318,1.493333333
188,3.953069,141.8456,1.240409887,77.37517,0.198083995,0.923474058,0.183731783,3.006666667
189,3.925145,141.5631,1.240781534,78.044659,0.201280462,0.906598736,0.107228401,2.506666667
190,4.172515,146.0604,1.243652974,81.095747,0.146260085,0.554204543,0.340919862,2.673333333
191,4.837816,151.3336,1.243109127,80.124543,0.050738474,0.079343612,0.462921866,2.346666667
192,4.653639,153.8886,1.243418528,80.786889,0.052935219,0.221505765,0.371788822,2.806666667
193,4.544172,155.9466,1.244606177,82.392671,0.05180649,0.28700854,0.454755795,4.963333333
194,5.262177,160.8801,1.244069064,81.828712,0.026502377,0.106621198,0.319066012,2.863333333
195,4.165025,162.0885,1.244201323,82.892756,0.047297411,0.272673089,0.05128864,1.19
196,4.308783,164.276,1.244445955,83.511661,0.071974569,0.097597823,0.026528259,1.613333333
197,4.47599,27.06958,1.234205682,66.204117,0.157161924,0.609016421,0.040916349,14.13666667
198,4.978847,29.96215,1.235291463,67.594076,0.177362731,0.341516738,0.17342806,18.34333333
199,5.798652,30.68158,1.233814692,66.778985,0.147880766,0.043922542,0.1326146,17.91
200,5.914454,30.82273,1.2330573,65.306505,0.126375368,0.195539621,0.141891406,18.21666667
201,5.868582,30.64439,1.234039689,64.942302,0.137880139,0.135047117,0.15386721,19.23
202,6.285582,31.65752,1.233235926,64.222229,0.103265632,0.102617026,0.075700442,18.57333333
203,6.434873,31.40219,1.232965579,65.064895,0.077525011,0.110307306,0.023278062,17.52333333
204,6.537684,32.76349,1.233348915,65.721886,0.048940068,0.072510683,0.039555833,14.68333333
205,6.331181,38.87153,1.233371409,66.67385,0.073186188,0.128325595,0.061640007,13.25333333
206,5.407106,42.19732,1.233714508,67.172743,0.071936171,0.276409792,0.027958212,11.20666667
207,6.178745,47.41044,1.232863879,66.535986,0.08776224,0.259469823,0.135887839,10.30333333
208,4.725959,77.82569,1.23332871,64.754249,0.089787935,0.379326968,0.130900273,5.22
209,5.52193,79.79453,1.233818443,64.557866,0.071419286,0.240997868,0.286091258,10.6
210,6.203847,79.56611,1.234055419,65.605444,0.058619837,0.112391915,0.26725592,9.323333333
211,6.25623,78.78097,1.23436473,66.093428,0.04594521,0.121319479,0.223996155,6.253333333
212,5.835413,79.49534,1.234583075,66.900386,0.04411746,0.235167984,0.110139485,9.316666667
213,5.977279,78.92975,1.23466338,67.503422,0.046282096,0.249653692,0.136845261,7.14
214,6.27899,80.6509,1.235746142,68.289948,0.06686096,0.26501533,0.175104696,6.21
215,6.330122,83.87637,1.235602997,68.945751,0.051732257,0.221163297,0.18495969,8.386666667
216,5.995114,86.07834,1.236076015,69.41469,0.062925075,0.119603553,0.131774281,11.17333333
217,5.788162,87.77748,1.237417532,70.224822,0.088503656,0.181713949,0.116216055,14.05
218,5.259884,90.50127,1.23774097,70.937755,0.11152803,0.471543193,0.156782877,14.21333333
219,5.940822,91.96418,1.237955269,70.554312,0.104547923,0.364222776,0.255418632,13.54
220,6.345279,92.02834,1.238415499,70.25676,0.070678973,0.283156333,0.256785083,19.74333333
221,7.032842,91.40881,1.238736653,68.391712,0.071214326,0.259446498,0.289085196,18.46
222,7.16526,92.20498,1.239211939,67.617881,0.109426692,0.158872031,0.284132124,17.27333333
223,6.245083,96.10537,1.240107468,67.979503,0.159178637,0.277617259,0.153661194,19.24
224,5.971569,97.76655,1.239840042,70.420215,0.174712877,0.223284872,0.007806397,15.46333333
225,4.244194,106.3247,1.241530836,71.733406,0.185334365,0.99884644,0.0670464,16.28
226,4.558383,108.3909,1.24208977,71.774865,0.192031209,1.084192325,0.17266015,15.13333333
227,4.956842,111.6995,1.241642303,71.969463,0.169446797,1.025781517,0.089404991,15.81
228,5.111169,112.7057,1.241362605,72.319779,0.175564181,1.001188903,0.058295871,14.46666667
229,3.668536,131.262,1.242855649,70.928233,0.113161926,0.726803475,0.009032554,11.02
230,4.176669,134.3713,1.243596322,70.192092,0.127240248,0.574625323,0.037366701,12.14333333
231,3.766182,137.4413,1.243682134,68.705924,0.11665809,1.185958662,0.072125037,7.3
232,4.411626,142.5149,1.243668285,69.465076,0.175555974,0.919884471,0.146994204,7.893333333
233,5.05808,144.946,1.243440011,68.44408,0.126748509,0.495930074,0.289501713,6.546666667
234,5.819903,148.043,1.243234019,67.034085,0.063673381,0.163757227,0.436307746,7.55
235,6.002701,150.0033,1.243393376,65.947629,0.030335727,0.138839057,0.502296942,8.226666667
236,6.072374,149.1368,1.24485317,66.687934,0.070359978,0.155554541,0.482714326,5.963333333
237,5.109164,145.4761,1.245186408,68.832088,0.141701441,0.437652412,0.352664382,3.3
238,4.98066,147.0375,1.245179491,68.346086,0.141357129,0.402629878,0.47177703,3.93
239,4.717282,151.273,1.246161757,69.924693,0.151370874,0.456916864,0.563673684,1.183333333
240,4.025357,155.127,1.252141146,81.599798,0.069758757,0.778036376,0.207999974,2.48
241,4.768158,156.9848,1.250658507,76.994901,0.058304066,0.412271488,0.336828826,2.55
242,4.421137,154.1911,1.251284357,76.192107,0.040514759,0.379280269,0.318545997,2.24
243,4.480032,154.1127,1.250792972,75.472629,0.033861588,0.39460193,0.395080965,2.193333333
244,4.315263,157.6806,1.250312709,74.779335,0.050620113,0.441346422,0.364636362,3.756666667
245,4.890584,164.3817,1.249904654,74.438542,0.039747687,0.285941707,0.360967328,4.653333333
246,5.162125,172.2005,1.249536641,74.101911,0.043364312,0.224890119,0.408859094,5.606666667
247,5.42515,180.4594,1.248673285,72.515568,0.059154051,0.134056528,0.420903445,5.003333333
248,5.417066,176.6042,1.248185661,72.657996,0.045445431,0.107628359,0.47044902,2.913333333
249,4.876021,168.1548,1.247810186,73.009503,0.029289332,0.267518269,0.452653847,2.74
250,4.648009,166.0777,1.247052321,72.509816,0.025751004,0.227490558,0.545975911,2.51
251,4.554822,165.0837,1.246419427,71.380312,0.026290007,0.272908748,0.485378631,2.796666667
252,6.269158,46.39679,1.232985866,55.903895,0.071317265,0.151029569,0.001401174,11.71333333
253,6.123042,71.11569,1.231386391,53.254502,0.074669454,0.185033009,0.052621147,11.53
254,6.501997,77.49673,1.231589586,49.502385,0.067226761,0.180273182,0.205475778,8.54
255,7.438165,81.90145,1.230493737,45.668738,0.042318018,0.112646004,0.463148305,8.72
256,7.018695,80.28989,1.229962966,42.717629,0.047787972,0.069444283,0.346876194,11.06
257,6.414985,78.73486,1.229747321,41.912854,0.052854621,0.047546243,0.204569541,13.71333333
258,7.765859,78.60938,1.233491717,56.998883,0.053021153,0.089722843,0.159690791,21.94666667
259,7.459545,78.28042,1.233910899,57.349002,0.062410549,0.075218975,0.099577119,16.02333333
260,6.822553,75.50726,1.235134468,59.057737,0.052853309,0.156207975,0.106852874,17.53333333
261,6.804237,75.23945,1.235126901,60.21402,0.06707697,0.131624411,0.120495535,22.48333333
262,6.977715,75.67222,1.235724055,60.450077,0.08401448,0.217627499,0.140302438,21.80666667
263,7.306452,77.45094,1.236259099,60.227112,0.058496354,0.184268604,0.157185947,14.43
264,7.221846,79.28803,1.237472226,60.895412,0.067894995,0.220853619,0.1480847,12.54
265,7.261575,80.78259,1.237791401,62.098113,0.057811425,0.210860087,0.155346552,14.06666667
266,7.584168,81.47627,1.238578231,62.740425,0.059017205,0.169536149,0.134570241,12.57
267,6.70295,78.83248,1.239183675,63.611853,0.055026473,0.241315393,0.123955692,13.90333333
268,6.427495,79.20511,1.239494332,62.924312,0.054945154,0.279073528,0.158024779,11.86333333
269,6.465251,79.82704,1.24046721,62.074705,0.057161075,0.380708243,0.169101802,12.3
270,6.025059,79.02372,1.240662836,61.784692,0.067218147,0.38759326,0.162563514,12.93666667
271,6.203301,77.14537,1.241028419,61.913829,0.049233771,0.286627048,0.163554635,9.066666667
272,6.772752,80.35122,1.241049614,61.599814,0.068401884,0.470140969,0.204884177,9.613333333
273,7.323068,83.51868,1.241187668,60.450275,0.036483725,0.241123243,0.21871738,11.32666667
274,7.171018,85.87782,1.241543005,58.497151,0.0487738,0.156610657,0.140647569,14.41333333
275,6.657078,87.55107,1.241329713,58.547735,0.072319928,0.25075342,0.080065535,17.25666667
276,6.616243,87.94499,1.241307429,58.210312,0.068149039,0.255747229,0.081932859,14.72
277,6.273167,87.7591,1.242141205,58.897259,0.064005757,0.266685084,0.071019462,10.94666667
278,7.288456,83.92834,1.243509932,64.399568,0.046538416,0.006417372,0.209733102,7.993333333
279,6.248082,87.85095,1.243912383,63.204803,0.062173,0.123216133,0.087088353,10.47
280,6.663189,86.68147,1.243369911,61.446079,0.062774551,0.024757916,0.128362857,8.236666667
281,4.669967,66.54744,1.249379657,70.734429,0.064529257,0.002248618,0.014825493,6.333333333
282,5.113463,78.49414,1.249602089,72.682197,0.034047905,0.105590878,0.065854314,2.213333333
283,4.625811,78.38022,1.248923381,70.555105,0.056876059,0.06399316,0.043837432,7.97
284,5.268801,75.58191,1.251576825,74.37308,0.079469883,0.056717874,0.037622074,5.86
285,5.073654,75.94759,1.251587531,73.3622,0.066638817,0.080701964,0.026939847,12.82333333
286,6.004064,81.8706,1.25108086,73.022596,0.187600099,0.011020105,0.065847858,16.12666667
287,7.061247,87.19343,1.25255337,77.177596,0.074044075,0.218563292,0.123839458,14.29
288,6.230006,92.07399,1.252425693,77.36684,0.090949623,0.282411314,0.082877814,10.98
289,5.950317,90.56864,1.252095138,75.864802,0.083605344,0.234486173,0.127916587,6.22
290,5.040646,90.7318,1.251162134,78.142453,0.072534433,0.228635918,0.082399591,4.52
291,4.913536,90.22677,1.250968702,79.437596,0.072063703,0.13814047,0.115511865,2.606666667
292,4.980996,84.57997,1.251236104,80.172743,0.090488689,0.090510676,0.179973774,1.423333333
293,4.770115,79.39706,1.253881171,82.419053,0.066918387,0.052922131,0.031953922,1.686666667
294,4.544606,79.03684,1.253338118,80.678382,0.056263579,0.23366391,0.135359995,3.573333333
295,4.273962,95.47081,1.252889536,80.645057,0.16417095,0.435458472,0.244228174,2.21
